shared name	Zod_molecularFormula	Zod_adduct	Zod_ZodiacScore	Zod_TreeScore	Zod_numExplainedPeaks	Zod_explainedIntensity	Zod_id	Zod_massErrorPrecursor(ppm)	Zod_medianAbsoluteMassErrorFragmentPeaks(ppm)
3393	C44H80N2O	[M - H2O + H]+	0.86	5.206	4	0.076	5913_CARA_C18_pos_SIRIUS_3393	-28337.325	6.644
1914	C23H42O4	[M + H3N + H]+	0.86	47.46	14	0.945	7286_CARA_C18_pos_SIRIUS_1914	-4.585	7.512
21899	C19H45N7	[M + H]+	0.86	39.614	9	0.954	6359_CARA_C18_pos_SIRIUS_21899	0.481	3.384
7433	C28H59NO4	[M - H2O + H]+	0.86	1.242	3	0.615	3536_CARA_C18_pos_SIRIUS_7433	-39464.423	4.345
24209	C37H65NO8S	[M - H4O2 + H]+	0.86	17.887	8	0.939	4999_CARA_C18_pos_SIRIUS_24209	-55545.889	8.169
11206	C14H26O8	[M + Na]+	0.86	5.904	1	0.0	2810_CARA_C18_pos_SIRIUS_11206	-1.705	1.146
34017	C24H36O5	[M + H3N + H]+	0.859	26.041	5	0.93	1162_CARA_C18_pos_SIRIUS_34017	-4.736	5.014
96	C38H77NO2	[M + Na]+	0.859	25.357	15	0.867	5446_CARA_C18_pos_SIRIUS_96	-1.745	3.37
1513	C37H68O7	[M + Na]+	0.859	9.619	6	0.837	3789_CARA_C18_pos_SIRIUS_1513	-5.444	6.496
7667	C22H42O8	[M + H]+	0.859	5.844	1	0.0	7098_CARA_C18_pos_SIRIUS_7667	2.884	1.821
26549	C16H32O10	[M + H]+	0.859	6.0	1	0.0	5930_CARA_C18_pos_SIRIUS_26549	2.535	
1181	C22H41N3O4	[M - H4O2 + H]+	0.858	9.963	3	1.0	4714_CARA_C18_pos_SIRIUS_1181	-95727.168	0.025
29661	C37H66O6	[M + H3N + H]+	0.858	20.272	15	0.824	3189_CARA_C18_pos_SIRIUS_29661	-1.065	5.069
11855	C35H68N10O6	[M + H3N + H]+	0.858	17.842	9	0.825	2149_CARA_C18_pos_SIRIUS_11855	-6.269	4.048
1799	C43H90NO6P	[M - H4O2 + H]+	0.858	5.448	4	0.322	283_CARA_C18_pos_SIRIUS_1799	-50545.569	4.422
21422	C44H73NO	[M - H2O + H]+	0.858	5.905	5	0.839	4799_CARA_C18_pos_SIRIUS_21422	-29298.163	3.76
2490	C35H71NO3	[M + Na]+	0.858	0.796	1	0.0	850_CARA_C18_pos_SIRIUS_2490	-1.589	2.331
2684	C43H85NO4	[M - H4O2 + H]+	0.857	27.284	27	0.333	4661_CARA_C18_pos_SIRIUS_2684	-55887.276	5.436
24147	C21H34N2O10	[M + Na]+	0.857	18.161	14	0.97	1360_CARA_C18_pos_SIRIUS_24147	0.27	6.282
6187	C21H43NO5	[M - H2O + H]+	0.857	9.734	3	0.403	1082_CARA_C18_pos_SIRIUS_6187	-48373.203	2.609
4370	C40H81NO3	[M + Na]+	0.857	16.075	3	0.951	7546_CARA_C18_pos_SIRIUS_4370	-0.412	2.197
379	C23H44O5	[M + Na]+	0.857	5.194	1	0.0	7087_CARA_C18_pos_SIRIUS_379	-7.548	7.614
23320	C42H72O2	[M + K]+	0.857	9.454	2	0.287	4950_CARA_C18_pos_SIRIUS_23320	-3.073	1.468
32355	C37H68O6	[M + K]+	0.857	5.643	1	0.0	2474_CARA_C18_pos_SIRIUS_32355	-6.407	3.852
25683	C24H53N7O7	[M - H4O2 + H]+	0.857	33.798	11	0.77	4769_CARA_C18_pos_SIRIUS_25683	-69752.981	6.776
3	C27H53NO2	[M - H4O2 + H]+	0.856	2.564	3	0.67	6298_CARA_C18_pos_SIRIUS_3	-92748.275	2.507
4491	C51H94O2	[M + H]+	0.856	40.135	10	0.387	6441_CARA_C18_pos_SIRIUS_4491	-9.137	5.853
3506	C24H39N9O11	[M - H4O2 + H]+	0.856	34.17	14	0.954	7744_CARA_C18_pos_SIRIUS_3506	-60611.13	6.774
34037	C41H72O3	[M + H3N + H]+	0.856	2.064	4	0.569	6295_CARA_C18_pos_SIRIUS_34037	5.912	2.022
