shared_name	Zod_molecularFormula	Zod_adduct	Zod_ZodiacScore	Zod_TreeScore	Zod_numExplainedPeaks	Zod_explainedIntensity	Zod_id	Zod_massErrorPrecursor(ppm)	Zod_medianAbsoluteMassErrorFragmentPeaks(ppm)
2036	C13H19F3N4O2S2	[M - H2O - H]-	0.999	5.23	4	0.477	4380_CARA_HILIC_neg_SIRIUS_charge0_removed_2036	-49334.847	8.639
9389	C18H31N3O3	[M - H]-	0.999	4.597	4	0.468	4126_CARA_HILIC_neg_SIRIUS_charge0_removed_9389	-2.574	4.891
9417	C13H17F3N4OS2	[M - H]-	0.999	3.333	3	0.504	4143_CARA_HILIC_neg_SIRIUS_charge0_removed_9417	-0.031	5.017
371	C20H34O11	[M - H]-	0.999	45.67	12	0.871	4805_CARA_HILIC_neg_SIRIUS_charge0_removed_371	-1.86	2.519
4498	C17H22Cl2N2O6	[M - H]-	0.999	47.414	13	0.979	4299_CARA_HILIC_neg_SIRIUS_charge0_removed_4498	-0.991	2.496
4432	C11H20N4O5	[M - H]-	0.999	43.97	12	0.936	4715_CARA_HILIC_neg_SIRIUS_charge0_removed_4432	-9.032	5.503
9845	C6H13ClO6	[M - H]-	0.999	25.374	5	0.588	2519_CARA_HILIC_neg_SIRIUS_charge0_removed_9845	2.375	5.98
8618	C7H14O6S	[M - H]-	0.999	32.216	11	0.86	2701_CARA_HILIC_neg_SIRIUS_charge0_removed_8618	-3.7	11.722
1926	C11H14N2O3	[M - H]-	0.999	26.33	11	0.918	522_CARA_HILIC_neg_SIRIUS_charge0_removed_1926	-2.107	7.301
2207	C14H24N2O5S3	[M - H2O - H]-	0.999	27.087	9	0.92	5594_CARA_HILIC_neg_SIRIUS_charge0_removed_2207	-47762.943	2.783
3845	C15H24O5	[M - H]-	0.999	29.762	5	0.581	4919_CARA_HILIC_neg_SIRIUS_charge0_removed_3845	0.715	3.895
