rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	ionMass	retentionTimeInSeconds	id
5285	C22H35N9O13	[M - H]-	C22H35N9O13	0.13819095477386936	10.395571337955602	10.395571337955602	0.0	5	0.8685679523741849	2.6586211200577896	5.2095113166467	5.2896321846414	632.2315	153.585	5117_CARA_HILIC_neg_SIRIUS_charge0_removed_9301
5286	C23H36N4O9	[M + Cl]-	C23H36N4O9	0.13819095477386933	10.822408106251354	10.822408106251354	0.0	3	0.5519805212528797	-0.4434859201772366	4.94808441850298	4.879219741306956	547.2203	106.859	2235_CARA_HILIC_neg_SIRIUS_charge0_removed_10100
5287	C57H90O11	[M + Cl]-	C57H90O11	0.13768844221105528	5.998916023813462	5.998916023813462	0.0	1	0.0	-0.013578270375226928	0.013578270375226928	-0.01517820696165916	985.6177	76.296	509_CARA_HILIC_neg_SIRIUS_charge0_removed_4355
5288	C11H17NO8P2	[M + Cl]-	C11H17NO8P2	0.13618090452261306	15.651347125678615	15.651347125678615	0.0	5	0.925058847223671	1.134594267516167	4.267169162516812	0.15199537577337308	388.0124	162.891	3173_CARA_HILIC_neg_SIRIUS_charge0_removed_6950
5289	C35H31NO7	[M + Br]-	C35H31NO7	0.13618090452261306	13.855923867557435	13.855923867557435	0.0	2	0.9372386271880353	1.023680922560113	1.6820780718165564	-0.6675703149754919	656.1285	82.594	4130_CARA_HILIC_neg_SIRIUS_charge0_removed_9186
5290	C51H85NO13	[M + Cl]-	C51H85NO13	0.13567839195979897	14.041482023485964	14.041482023485964	0.0	2	0.772528921138828	-1.2900185585759072	1.2900185585759072	-5.754489379792426	954.566	79.686	2422_CARA_HILIC_neg_SIRIUS_charge0_removed_9127
5291	C44H47N7O9S2	[M - H2O - H]-	C44H45N7O8S2	0.13517587939698494	9.814566773085195	9.814566773085195	0.0	6	0.8538229304485578	-0.7208421227214472	1.0921143349154416	-20887.538587879735	862.2697	223.343	768_CARA_HILIC_neg_SIRIUS_charge0_removed_6113
5292	C40H75N5O12	[M - H]-	C40H75N5O12	0.13517587939698494	5.8046985388736605	5.8046985388736605	0.0	4	0.08471745771075273	0.837321242828957	3.6714744284059093	-1.0365628895128112	816.5331	99.204	1600_CARA_HILIC_neg_SIRIUS_charge0_removed_8708
5293	C43H69N3O6	[M - H]-	C43H69N3O6	0.13517587939698492	2.9612903071071432	2.9612903071071432	0.0	2	0.43277277364648375	-3.1466033088874026	3.5584771740043903	-6.727241774961839	722.5065	77.551	3970_CARA_HILIC_neg_SIRIUS_charge0_removed_7365
5294	C29H24N8O15S4	[M + Br]-	C29H24N8O15S4	0.13467336683417086	-0.6717258147779073	-0.6717258147779073	0.0	1	0.0	0.7575712008884661	0.7575712008884661	2.597629583113636	930.9457	72.943	62_CARA_HILIC_neg_SIRIUS_charge0_removed_255
5295	C54H56O8	[M - H]-	C54H56O8	0.13417085427135678	5.969220799777331	5.969220799777331	0.0	1	0.0	-0.37997523329389193	0.37997523329389193	-0.89284253585294	831.3895	116.983	3669_CARA_HILIC_neg_SIRIUS_charge0_removed_10852
5296	C53H82O11	[M + Cl]-	C53H82O11	0.13316582914572864	5.735959021459523	5.735959021459523	0.0	1	0.0	2.950678224971645	2.950678224971645	2.9963664345865606	929.5579	76.296	2720_CARA_HILIC_neg_SIRIUS_charge0_removed_4349
5297	C13H29N5O6S2	[M - H]-	C13H29N5O6S2	0.1321608040201005	3.7222913265036555	3.7222913265036555	0.0	6	0.7840127698652727	-1.54848521967013	4.614962080772582	4.71037369131874	414.1506	77.969	3089_CARA_HILIC_neg_SIRIUS_charge0_removed_8578
5298	C16H16N2O10	[M + Cl]-	C16H16N2O10	0.1316582914572864	9.832885745138594	9.832885745138594	0.0	4	0.7186965609198716	-1.184857223836505	1.184857223836505	-7.646439873178136	431.0466	157.885	5115_CARA_HILIC_neg_SIRIUS_charge0_removed_10078
5299	C18H34N4O12S	[M - H]-	C18H34N4O12S	0.1316582914572864	8.048563472090324	8.048563472090324	0.0	4	0.9567985993650209	-2.657109346136912	7.3166926573096385	8.8492836376543	529.1868	78.157	2792_CARA_HILIC_neg_SIRIUS_charge0_removed_656
5300	C25H49N7O10	[M - H]-	C25H49N7O10	0.13115577889447239	14.614279669827082	14.614279669827082	0.0	5	0.6215527416494038	-2.293388677423434	2.293388677423434	0.30623403847099706	606.347	94.902	552_CARA_HILIC_neg_SIRIUS_charge0_removed_10249
5301	C14H6S5	[M + Br]-	C14H6S5	0.1306532663316583	-0.6966640492729499	-0.6966640492729499	0.0	2	0.35111689035424815	-2.5354998861172975	4.4220442282732915	-8.213867813162809	412.8228	120.81	4657_CARA_HILIC_neg_SIRIUS_charge0_removed_1329
5302	C33H57N3O8	[M + Br]-	C33H57N3O8	0.13015075376884422	4.343191093116812	4.343191093116812	0.0	3	0.7512964489272979	2.7099168059978505	2.793338176264142	2.7743669057276006	702.3354	121.193	23_CARA_HILIC_neg_SIRIUS_charge0_removed_10818
5303	C6H4BrN5	[M + Cl]-	C6H4BrN5	0.13015075376884422	-0.702220462307882	-0.702220462307882	0.0	1	0.0	1.112833464501457	1.112833464501457	3.4297461349205767	259.9353	70.955	3869_CARA_HILIC_neg_SIRIUS_charge0_removed_2093
5304	C22H36N10O8	[M - H]-	C22H36N10O8	0.12964824120603016	9.390793175821212	9.390793175821212	0.0	6	0.9413282307316867	-2.472445548313579	3.3944468898367464	9.55160866194443	567.2699	81.966	3245_CARA_HILIC_neg_SIRIUS_charge0_removed_5803
5305	C45H59N5O16	[M - H]-	C45H59N5O16	0.12864321608040202	7.117648439490173	7.117648439490173	0.0	10	0.5937363880035873	3.683603937321698	5.206267733956981	5.18788334938385	924.3932	83.223	2058_CARA_HILIC_neg_SIRIUS_charge0_removed_838
5306	C31H39N3O	[M - H]-	C31H39N3O	0.12814070351758794	0.8904737808174863	0.8904737808174863	0.0	1	0.0	-1.3038900523101682	1.3038900523101682	-1.3589878430188844	468.3014	108.644	4751_CARA_HILIC_neg_SIRIUS_charge0_removed_4873
5307	C18H21BrN2O8	[M - H]-	C18H21BrN2O8	0.12763819095477388	18.29831481613591	18.29831481613591	0.0	7	0.28919571403015454	-1.3661236036194664	2.0809124277020254	-3.930205162391771	471.039	165.078	4607_CARA_HILIC_neg_SIRIUS_charge0_removed_3026
