Row_ID	p_cat|groups|oily-norm	p_cat|base|sebum	p_cat|base|skicon
3980	< 0.1	< 0.1	
3982			< 0.1
3983	< 0.1	< 0.1	
3987		< 0.1	
3988	< 0.1		
3990			< 0.1
3991			< 0.1
3992	< 0.1	< 0.1	
3999	< 0.1	< 0.01	< 0.1
4001		< 0.1	
4004	< 0.01	< 0.1	
4005	< 0.1	< 0.1	
4009	< 0.1	< 0.01	
4010	< 0.1		
4014	< 0.001	< 0.001	
4015	< 0.1	< 0.1	
4016	< 0.1	< 0.1	
4017			< 0.1
4018	< 0.1	< 0.1	
4019	< 0.1	< 0.01	
4020	< 0.1	< 0.01	
4021		< 0.1	
4022			< 0.1
4024	< 0.01	< 0.01	
4026	< 0.1	< 0.01	
4027	< 0.01	< 0.01	
4028	< 0.01	< 0.01	
4029		< 0.1	
4030	< 0.01	< 0.01	
4033	< 0.1	< 0.1	
4034	< 0.01	< 0.01	
4035			< 0.1
4040	< 0.001	< 0.001	
4041	< 0.1	< 0.01	
4042			< 0.1
4043	< 0.1	< 0.01	
4044	< 0.01	< 0.001	
4045	< 0.1		
4047	< 0.1		
4048	< 0.01	< 0.001	
4049	< 0.001	< 0.001	
4050		< 0.1	< 0.01
4051		< 0.1	
4052	< 0.001	< 0.01	
