Row_ID	p_value|groups|oily-norm	p_value|base|sebum	p_value|base|skicon
1107	0.249	0.215	0.473
1108	0.951	0.278	0.054
1109	0.022	0.004	0.629
1110	0.788	0.878	0.938
1112	0.552	0.163	0.344
1113	0.144	0.056	0.733
1114	0.235	0.227	0.775
1115	0.937	0.313	0.694
1116	0.4	0.337	0.811
1117	0.187	0.07	0.372
1118	0.714	0.705	0.783
1119	0.527	0.788	0.393
1120	0.776	0.534	0.589
1121	0.388	0.553	0.73
1122	0.046	0.06	0.187
1123	0.105	0.064	0.038
1125	0.368	0.52	0.591
1126	0.727	0.962	0.658
1127	0.605	0.835	0.777
1128	0.551	0.448	0.813
1130	0.191	0.176	0.549
1131	0.242	0.401	0.112
1132	0.556	0.268	0.805
1133	0.296	0.31	0.986
1134	0.319	0.736	0.951
1135	0.168	0.032	0.452
1136	0.323	0.536	0.189
1137	0.308	0.127	0.305
1139	0.035	0.185	0.273
1140	0.711	0.765	0.874
1141	0.125	0.236	0.892
1142	0	0	0.096
1143	0.703	0.247	0.097
1144	0.891	0.962	0.584
1145	0.705	0.691	0.179
1146	0.516	0.182	0.201
1147	0.938	0.919	0.292
1148	0.064	0.026	0.167
1149	0.915	0.838	0.724
1150	0.316	0.154	0.817
1153	0.198	0.448	0.285
1154	0.157	0.042	0.586
1155	0.966	0.31	0.354
1156	0.507	0.686	0.651
1157	0.175	0.278	0.266
1158	0.25	0.058	0.285
1159	0.792	0.615	0.818
1161	0.682	0.491	0.719
1162	0.604	0.253	0.616
1164	0.884	0.967	0.069
1165	0.659	0.773	0.331
1167	0.178	0.285	0.08
1168	0.931	0.656	0.236
1169	0.924	0.892	0.873
1170	0.735	0.812	0.338
1171	0.08	0.329	0.01
1172	0.273	0.209	0.003
1173	0.364	0.424	0.085
1175	0.997	0.974	0.338
1176	0.058	0.104	0.175
1177	0.233	0.108	0.689
1178	0.658	0.962	0.348
1179	0.381	0.361	0.945
1180	0.154	0.038	0.473
1181	0.052	0.054	0.766
1182	0.209	0.068	0.329
1183	0.138	0.352	0.88
1184	0.469	0.634	0.328
1185	0.021	0.021	0.049
1187	0.19	0.058	0.25
