Row_ID	p_value|groups|oily-norm	p_value|base|sebum	p_value|base|skicon
2250	0.595	0.46	0.502
2252	0.841	0.994	0.081
2255	0.074	0.033	0.256
2256	0.748	0.828	0.779
2259	0.247	0.189	0.601
2260	0.679	0.75	0.651
2261	0.272	0.526	0.125
2262	0.955	0.347	0.106
2263	0.538	0.74	0.703
2267	0.216	0.048	0.477
2271	0.627	0.575	0.472
2272	0.612	0.336	0.263
2273	0.307	0.414	0.964
2279	0.361	0.66	0.075
2280	0.061	0.094	0.951
2281	0.296	0.367	0.926
2282	0.698	0.863	0.766
2283	0.194	0.134	0.912
2284	0.402	0.893	0.032
2285	0.581	0.411	0.729
2286	0.804	0.693	0.012
2287	0.792	0.978	0.365
2288	0.703	0.905	0.012
2290	0.93	0.343	0.115
2291	0.761	0.308	0.385
2292	0.969	0.862	0.911
2293	0.231	0.389	0.003
2294	0.487	0.988	0.667
2296	0.439	0.5	0.004
2297	0.739	0.178	0.788
2298	0.419	0.408	0.143
2299	0.335	0.503	0.608
2300	0.325	0.219	0.638
2301	0.613	0.195	0.206
2302	0.517	0.271	0.222
2303	0.57	0.424	0.301
2304	0.863	0.878	0.456
2305	0.26	0.077	0.848
2306	0.228	0.171	0.384
2307	0.158	0.183	0.693
2308	0.608	0.299	0.302
2311	0.377	0.791	0.077
2312	0.195	0.081	0.564
2313	0.544	0.177	0.509
2314	0.284	0.559	0.417
2315	0.391	0.651	0.443
2316	0.96	0.664	0.98
2318	0.88	0.924	0.521
2320	0.036	0.003	0.796
2321	0.664	0.82	0.672
2324	0.405	0.164	0.853
2325	0.666	0.751	0.357
2326	0.326	0.448	0.04
2327	0.47	0.371	0.049
2329	0.203	0.147	0.847
2330	0.217	0.395	0.141
2331	0.353	0.464	0.183
2332	0.688	0.209	0.798
2333	0.413	0.877	0.082
2339	0.461	0.358	0.074
2341	0.047	0.039	0.005
2342	0.308	0.427	0.154
2348	0.823	0.743	0.405
2349	0.563	0.234	0.987
2350	0.847	0.828	0.002
2352	0.981	1	0.024
2361	0.032	0.025	0.073
2363	0.258	0.04	0.725
2364	0.546	0.237	0.201
