Row_ID	p_cat_dir|groups|oily-norm	p_cat_dir|base|sebum	p_cat_dir|base|skicon
4223	Dn, < 0.01	Dn, < 0.1	
4233	Dn, < 0.1	Dn, < 0.1	
4234			Up, < 0.1
4237	Dn, < 0.1		
4238			Dn, < 0.1
4245		Dn, < 0.1	
4246	Dn, < 0.1		Up, < 0.1
4251			Up, < 0.1
4253	Dn, < 0.1		
4255		Dn, < 0.1	Up, < 0.1
4257	Dn, < 0.1	Dn, < 0.1	Up, < 0.01
4261			Up, < 0.1
4262			Up, < 0.1
4263			Up, < 0.1
4265	Dn, < 0.1	Dn, < 0.1	
4269			Up, < 0.01
4270	Dn, < 0.1	Dn, < 0.1	Up, < 0.01
4280			Dn, < 0.1
4282			Dn, < 0.1
4283			Up, < 0.01
4289			Dn, < 0.1
4299			Up, < 0.1
4301		Dn, < 0.1	Up, < 0.1
4302			Up, < 0.1
4306			Dn, < 0.1
4313	Up, < 0.1	Up, < 0.1	
4318	Up, < 0.1		Dn, < 0.1
4320	Up, < 0.01	Up, < 0.01	
4328	Up, < 0.1		Dn, < 0.1
4344	Up, < 0.1	Up, < 0.1	
4350	Up, < 0.1	Up, < 0.1	
4355		Up, < 0.1	
4356			Dn, < 0.1
4368	Up, < 0.1		Dn, < 0.01
4374	Up, < 0.01	Up, < 0.1	Dn, < 0.01
4378			Up, < 0.1
4379	Dn, < 0.1	Dn, < 0.1	
4384	Dn, < 0.01	Dn, < 0.1	
4387	Up, < 0.01	Up, < 0.1	Dn, < 0.1
4388			Dn, < 0.01
4393	Up, < 0.1	Up, < 0.1	Dn, < 0.1
4394			Up, < 0.1
4397	Dn, < 0.1		
4398	Up, < 0.1		
4401			Up, < 0.1
4405	Up, < 0.01	Up, < 0.1	
4407	Up, < 0.1		Dn, < 0.01
4411	Up, < 0.1	Up, < 0.1	Dn, < 0.1
4412	Up, < 0.1	Up, < 0.1	
4417			Up, < 0.1
4418	Up, < 0.1	Up, < 0.1	
4423	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
4427	Dn, < 0.1		Up, < 0.1
4435		Dn, < 0.1	
4453			Up, < 0.1
4455		Up, < 0.1	
4458		Up, < 0.1	
4468	Up, < 0.1	Up, < 0.01	Dn, < 0.1
4469			Dn, < 0.1
4470	Up, < 0.1		Dn, < 0.1
4474			Up, < 0.1
4476			Dn, < 0.1
4480			Dn, < 0.1
4483			Up, < 0.01
4489		Up, < 0.1	
