Row_ID	p_cat_dir|groups|oily-norm	p_cat_dir|base|sebum	p_cat_dir|base|skicon
2950	Dn, < 0.01	Dn, < 0.1	
2953			Up, < 0.1
2955		Dn, < 0.1	
2963			Up, < 0.1
2966	Dn, < 0.1		
2968	Dn, < 0.1	Dn, < 0.1	
2969			Up, < 0.1
2973	Dn, < 0.1	Dn, < 0.1	
2974			Dn, < 0.01
2976	Dn, < 0.1	Dn, < 0.1	Up, < 0.01
2978			Up, < 0.1
2984			Up, < 0.1
2985		Dn, < 0.1	
2986			Up, < 0.1
2987			Dn, < 0.1
2988			Dn, < 0.1
2989			Up, < 0.1
2991			Up, < 0.1
2992			Up, < 0.1
2994	Dn, < 0.1	Dn, < 0.01	
3004			Up, < 0.1
3010			Up, < 0.1
3014		Dn, < 0.1	Up, < 0.01
3016		Dn, < 0.1	Up, < 0.1
3018	Dn, < 0.1	Dn, < 0.01	
3028			Up, < 0.1
3032	Dn, < 0.01	Dn, < 0.1	
3034		Dn, < 0.1	Up, < 0.1
3037			Up, < 0.1
3040		Dn, < 0.1	
3043		Dn, < 0.1	Up, < 0.01
3046		Dn, < 0.1	Up, < 0.1
3049			Up, < 0.1
3051	Dn, < 0.1		
3052			Up, < 0.1
3061	Dn, < 0.01	Dn, < 0.1	
3063	Dn, < 0.1	Dn, < 0.1	
3066			Dn, < 0.01
3069	Up, < 0.01	Up, < 0.01	
3071			Up, < 0.1
3073			Up, < 0.1
3074	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
3076	Up, < 0.1		
3085			Up, < 0.01
3089			Dn, < 0.001
3102			Up, < 0.1
3104			Up, < 0.1
3105			Up, < 0.01
3106			Up, < 0.1
3108	Dn, < 0.1	Dn, < 0.1	
3112			Up, < 0.1
3116	Dn, < 0.1	Dn, < 0.1	
3117		Dn, < 0.1	
3119			Up, < 0.1
3120		Dn, < 0.1	
3127			Dn, < 0.1
3128			Up, < 0.1
3129			Up, < 0.1
3132		Dn, < 0.1	
3134	Up, < 0.1	Up, < 0.1	
3135	Up, < 0.1	Up, < 0.1	Dn, < 0.1
3143		Dn, < 0.1	
3149			Up, < 0.1
3151			Up, < 0.1
3152			Dn, < 0.1
3155	Dn, < 0.1	Dn, < 0.1	
3159		Up, < 0.1	
3162	Dn, < 0.1	Dn, < 0.1	
3163	Dn, < 0.01	Dn, < 0.1	
3164	Up, < 0.1		
3167			Up, < 0.1
3170		Up, < 0.1	Up, < 0.1
3171			Up, < 0.1
3173	Dn, < 0.01	Dn, < 0.01	
3174			Up, < 0.01
3179		Dn, < 0.1	Up, < 0.1
3186			Dn, < 0.01
3190	Dn, < 0.1	Dn, < 0.01	
3193	Dn, < 0.1	Dn, < 0.1	
3195	Dn, < 0.1	Dn, < 0.1	
3202			Dn, < 0.1
3203		Dn, < 0.1	Up, < 0.1
3205	Up, < 0.01	Up, < 0.01	
3208	Up, < 0.1	Up, < 0.1	
3209	Dn, < 0.1		
3211			Up, < 0.1
3214	Up, < 0.1	Up, < 0.1	
3217		Up, < 0.1	
3221			Up, < 0.1
3223	Up, < 0.1	Up, < 0.1	
3224		Dn, < 0.1	Up, < 0.1
3227			Up, < 0.01
3235			Dn, < 0.1
3237	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
3238			Up, < 0.1
3240	Dn, < 0.1	Dn, < 0.01	
3241			Up, < 0.1
3245			Up, < 0.1
3246	Up, < 0.1	Up, < 0.1	
3248		Dn, < 0.1	Up, < 0.01
3249	Dn, < 0.1	Dn, < 0.1	
3254	Dn, < 0.1		
3261	Dn, < 0.1	Dn, < 0.1	Dn, < 0.1
3269			Up, < 0.1
3271		Dn, < 0.1	
3272			Dn, < 0.1
3273			Dn, < 0.01
3278			Dn, < 0.1
3283	Dn, < 0.1		Up, < 0.01
3290			Up, < 0.1
3294			Up, < 0.1
3309	Up, < 0.1		Dn, < 0.1
3314	Dn, < 0.1		
3315	Dn, < 0.1	Dn, < 0.1	
3323	Dn, < 0.1	Dn, < 0.1	
3326	Dn, < 0.1	Dn, < 0.1	
3334		Dn, < 0.1	
3346	Dn, < 0.1	Dn, < 0.1	
3347		Up, < 0.1	
3359			Up, < 0.01
3362		Dn, < 0.1	
3365	Dn, < 0.1	Dn, < 0.1	
3367	Dn, < 0.1	Dn, < 0.1	
3384	Up, < 0.1		
3386			Up, < 0.1
3389		Dn, < 0.1	
3396	Dn, < 0.1	Dn, < 0.001	
3399	Dn, < 0.1	Dn, < 0.1	
3411		Dn, < 0.1	
3414	Dn, < 0.01	Dn, < 0.01	
3416	Dn, < 0.1	Dn, < 0.1	
3418			Up, < 0.1
3421			Up, < 0.1
3427		Up, < 0.1	Dn, < 0.1
3432			Dn, < 0.01
3437		Dn, < 0.1	
3441	Dn, < 0.1	Dn, < 0.01	
3444	Up, < 0.1	Up, < 0.1	
3450			Dn, < 0.1
3451	Up, < 0.1	Up, < 0.1	
3457			Up, < 0.1
3465			Dn, < 0.1
3466			Dn, < 0.1
3482			Up, < 0.1
3483			Up, < 0.1
3492	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
3493			Up, < 0.01
3494			Dn, < 0.1
3498		Dn, < 0.01	
3501			Dn, < 0.1
3506			Up, < 0.1
3507		Dn, < 0.1	
3510			Dn, < 0.1
3513			Dn, < 0.01
3514			Up, < 0.1
3523		Up, < 0.1	Dn, < 0.1
3530		Dn, < 0.1	Up, < 0.1
3549	Dn, < 0.1	Dn, < 0.1	
3553		Up, < 0.1	
3558			Up, < 0.1
3561	Dn, < 0.1		
3566			Up, < 0.1
3567			Dn, < 0.1
3568			Dn, < 0.1
3569		Dn, < 0.1	
3577		Up, < 0.1	
3591	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
3597		Up, < 0.1	
3599	Dn, < 0.1		
3603		Up, < 0.1	
3613			Dn, < 0.1
3625			Up, < 0.1
3632	Dn, < 0.001	Dn, < 0.01	
3633			Dn, < 0.1
3634			Up, < 0.1
3640	Dn, < 0.1	Dn, < 0.01	
3641		Up, < 0.1	Dn, < 0.1
3644			Up, < 0.01
3647			Dn, < 0.1
3656			Up, < 0.01
3658			Dn, < 0.1
3660	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
3663	Up, < 0.1	Up, < 0.1	
3666	Dn, < 0.1	Dn, < 0.1	
3669	Dn, < 0.1		
3676			Dn, < 0.1
3679		Up, < 0.1	Dn, < 0.1
3685			Dn, < 0.01
3689			Up, < 0.1
3696		Dn, < 0.1	
3698	Up, < 0.1		
3699	Dn, < 0.1	Dn, < 0.1	
3711	Up, < 0.1		
3713			Dn, < 0.1
3717	Dn, < 0.1		Up, < 0.1
3720		Dn, < 0.1	
